po_id,po_line_id,po_date,supplier_id,contract_id,dept_id,site,buyer,item_id,item_name,category,uom,qty_ordered,unit_price,amount,requested_delivery_date,promised_delivery_date,po_status
PO-0000001,POL-000000001,2025-10-02,SUP-00001,CTR-000001,DEP-001,Завод №1 (Ростов‑на‑Дону),Иванов И.И.,NOM-000001,Лист стальной 09Г2С 6 мм,Металлопрокат,кг,4200,92.50,388500.00,2025-10-20,2025-10-18,Закрыт
PO-0000001,POL-000000002,2025-10-02,SUP-00003,CTR-000003,DEP-002,Завод №1 (Ростов‑на‑Дону),Иванов И.И.,NOM-000003,Болт М12×40 оцинкованный 8.8,Крепёж,шт,1800,9.30,16740.00,2025-10-15,2025-10-14,Закрыт
PO-0000002,POL-000000003,2025-10-08,SUP-00005,CTR-000005,DEP-003,Завод №2 (Ростов‑на‑Дону),Смирнова Е.В.,NOM-000007,Эмаль полиуретановая комплект,ЛКМ и химия,компл,28,7800.00,218400.00,2025-10-22,2025-10-16,Закрыт
PO-0000002,POL-000000004,2025-10-08,SUP-00005,CTR-000005,DEP-003,Склад МТО (Ростов‑на‑Дону),Смирнова Е.В.,NOM-000008,Растворитель универсальный,ЛКМ и химия,л,320,210.00,67200.00,2025-10-18,2025-10-16,Закрыт
PO-0000003,POL-000000005,2025-10-14,SUP-00007,CTR-000007,DEP-007,Завод №1 (Ростов‑на‑Дону),Петров П.П.,NOM-000006,Шина 385/65 R22.5,Шины и диски,шт,16,32800.00,524800.00,2025-10-28,2025-10-24,Отменён
PO-0000004,POL-000000006,2025-10-18,SUP-00002,CTR-000002,DEP-005,Завод №2 (Ростов‑на‑Дону),Кузнецов Д.Н.,NOM-000005,Подшипник 30210,Подшипники,шт,120,980.00,117600.00,2025-11-05,2025-11-08,Закрыт
PO-0000005,POL-000000007,2025-10-22,SUP-00004,CTR-000004,DEP-004,Завод №1 (Ростов‑на‑Дону),Сидоров А.А.,NOM-000010,Фара рабочая LED 24В,Электрооборудование,шт,60,2150.00,129000.00,2025-11-05,2025-11-06,Закрыт
PO-0000005,POL-000000008,2025-10-22,SUP-00004,CTR-000004,DEP-004,Склад МТО (Ростов‑на‑Дону),Сидоров А.А.,NOM-000009,Кабель КГ 3×2.5,Электрооборудование,м,900,155.00,139500.00,2025-11-07,2025-11-06,Закрыт
PO-0000006,POL-000000009,2025-10-28,SUP-00008,CTR-000008,DEP-005,Завод №1 (Ростов‑на‑Дону),Петров П.П.,NOM-000011,Рукав РВД 2SN 1/2 с фитингами,Гидравлика,шт,85,1180.00,100300.00,2025-11-15,2025-11-11,Закрыт
PO-0000007,POL-000000010,2025-11-02,SUP-00006,CTR-000006,DEP-008,Склад МТО (Ростов‑на‑Дону),Иванов И.И.,NOM-000012,Услуга: доставка (фура 20 т),Услуги (логистика/ремонт),рейс,3,42000.00,126000.00,2025-11-05,2025-11-06,Закрыт
PO-0000008,POL-000000011,2025-11-10,SUP-00010,CTR-000009,DEP-001,Завод №2 (Ростов‑на‑Дону),Кузнецов Д.Н.,NOM-000002,Труба профильная 80×80×4,Металлопрокат,кг,2800,108.00,302400.00,2025-12-01,2025-12-03,Открыт
PO-0000008,POL-000000012,2025-11-10,SUP-00003,CTR-000003,DEP-002,Завод №2 (Ростов‑на‑Дону),Кузнецов Д.Н.,NOM-000004,Гайка М12 самоконтрящаяся,Крепёж,шт,2200,7.80,17160.00,2025-11-25,2025-11-22,Закрыт
PO-0000009,POL-000000013,2025-11-18,SUP-00001,CTR-000001,DEP-001,Завод №1 (Ростов‑на‑Дону),Петров П.П.,NOM-000001,Лист стальной 09Г2С 6 мм,Металлопрокат,кг,3600,96.10,345960.00,2025-12-05,2025-12-04,Открыт
PO-0000010,POL-000000014,2025-11-25,SUP-00011,CTR-000010,DEP-002,Склад МТО (Ростов‑на‑Дону),Смирнова Е.В.,NOM-000003,Болт М12×40 оцинкованный 8.8,Крепёж,шт,1500,9.10,13650.00,2025-12-05,2025-12-06,Закрыт
PO-0000011,POL-000000015,2025-12-01,SUP-00012,,DEP-004,Завод №2 (Ростов‑на‑Дону),Сидоров А.А.,NOM-000010,Фара рабочая LED 24В,Электрооборудование,шт,36,2280.00,82080.00,2025-12-15,2025-12-20,Открыт
PO-0000011,POL-000000016,2025-12-01,SUP-00008,CTR-000008,DEP-005,Завод №2 (Ростов‑на‑Дону),Сидоров А.А.,NOM-000011,Рукав РВД 2SN 1/2 с фитингами,Гидравлика,шт,40,1220.00,48800.00,2025-12-12,2025-12-16,Закрыт
